iter	RMSE
0	6130080.926
1	5935207.054
2	5727360.887
3	5547409.746
4	5374555.237
5	5224620.751
6	5082710.603
7	4956189.615
8	4846123.749
9	4737908.027
10	4648870.544
11	4549653.166
12	4467106.756
13	4395598.948
14	4331777.105
15	4254611.165
16	4183605.833
17	4118702.987
18	4059968.123
19	4005416.887
20	3964541.611
21	3924120.991
22	3890135.476
23	3858295
24	3827557.631
25	3800573.758
26	3773757.784
27	3739650.559
28	3715102.966
29	3689408.22
30	3667904.293
31	3645991.73
32	3627082.367
33	3612064.912
34	3594629.411
35	3573371.764
36	3555565.714
37	3536886.022
38	3521802.687
39	3511259.656
40	3500668.525
41	3490326.786
42	3475577.079
43	3467727.376
44	3459595.942
45	3450199.595
46	3440511.565
47	3428204.579
48	3421900.366
49	3415408.978
50	3408234.04
51	3403024.014
52	3396458.04
53	3390459.914
54	3384728.829
55	3377370.646
56	3368895.172
57	3364400.631
58	3357499.328
59	3352897.363
60	3344678.799
61	3340844.744
62	3335109.303
63	3330930.068
64	3327464.754
65	3322781.544
66	3315728.892
67	3311602.945
68	3308481.804
69	3305079.542
70	3299487.015
71	3296994.119
72	3294337.811
73	3291436.086
74	3286577.008
75	3281609.247
76	3279355.086
77	3276514.425
78	3273555.875
79	3269899.244
80	3267476.5
81	3264011.368
82	3256768.255
83	3253124.556
84	3248527.263
85	3245909.735
86	3244358.474
87	3241703.373
88	3236999.261
89	3234721.335
90	3228798.266
91	3226700.366
92	3223172.196
93	3221292.32
94	3218577.556
95	3216308.653
96	3214586.523
97	3212388.833
98	3210028.6
99	3207999.61
100	3203562.276
101	3200848.743
102	3197954.584
103	3195712.969
104	3194104.841
105	3191678.019
106	3189621.452
107	3187135.313
108	3185259.057
109	3184200.254
110	3182826.96
111	3180780.141
112	3179295.517
113	3177152.384
114	3174402.906
115	3172548.052
116	3165950.224
117	3164446.468
118	3162365.306
119	3160802.121
120	3158957.855
121	3158018.907
122	3156375.622
123	3152431.058
124	3150180.002
125	3148711.643
126	3147782.976
127	3146375.933
128	3145552.746
129	3143623.662
130	3142277
131	3139715.542
132	3137771.477
133	3136012.903
134	3134491.655
135	3131535.909
136	3130252.648
137	3129035.522
138	3127601.637
139	3126260.724
140	3125208.695
141	3124196.642
142	3122994.303
143	3121380.247
144	3119982.166
145	3118838.257
146	3117275.196
147	3115769.522
148	3111691.249
149	3109950.204
150	3109160.537
151	3108162.278
152	3106903.26
153	3105733.895
154	3104444.608
155	3101381.234
156	3099964.352
157	3097732.823
158	3096910.509
159	3094559.486
160	3093484.741
161	3092757.652
162	3091496.923
163	3090123.06
164	3088493.914
165	3086581.179
166	3085255.571
167	3083900.793
168	3082686.024
169	3082022.017
170	3077929.034
171	3076069.232
172	3074664.622
173	3072406.25
174	3071518.106
175	3070164.018
176	3068454.126
177	3067168.3
178	3066029.936
179	3064874.541
180	3060844.184
181	3060032.773
182	3058680.247
183	3057601.987
184	3056391.756
185	3054295.617
186	3053026.612
187	3051285.364
188	3049581.333
189	3048062.184
190	3047084.494
191	3045445.384
192	3044641.733
193	3042210.446
194	3040971.9
195	3039728.432
196	3038571.283
197	3037374.623
198	3034844.045
199	3033697.87
200	3032383.156
201	3031769.029
202	3030608.006
203	3028305.543
204	3027125.911
205	3026102.494
206	3025075.777
207	3023627.611
208	3022335.668
209	3021348.625
210	3020227.009
211	3019205.613
212	3017605.621
213	3014192.623
214	3011720.727
215	3010609.49
216	3009708.152
217	3008240.838
218	3007411.45
219	3006512.216
220	3005718.335
221	3004848.181
222	3003881.592
223	3001596.612
224	3000410.333
225	2999544.333
226	2998642.476
227	2997588.864
228	2996485.541
229	2995817.98
230	2995179.955
231	2994442.623
232	2992041.11
233	2990775.485
234	2990003.572
235	2988081.827
236	2986780.153
237	2985661.927
238	2984321.964
239	2982915.621
240	2981918.104
241	2981123.414
242	2980553.028
243	2979573.615
244	2978592.131
245	2977952.739
246	2977234.978
247	2976140.897
248	2975469.217
249	2974258.961
250	2973526.458
251	2972102.625
252	2970839.566
253	2970053.615
254	2969204.098
255	2967343.821
256	2966220.277
257	2964991.421
258	2963835.174
259	2962616.199
260	2961947.789
261	2961154.715
262	2960099.708
263	2959000.082
264	2958208.314
265	2957056.25
266	2956559.006
267	2955494.142
268	2954751.231
269	2953877.24
270	2953029.644
271	2952234.938
272	2951161.02
273	2950475.292
274	2949549.787
275	2948423.576
276	2947300.988
277	2946769.285
278	2945268.708
279	2944164.358
280	2943439.89
281	2942290.938
282	2941007.837
283	2940405.938
284	2939473.211
285	2937785.431
286	2936889.535
287	2935739.496
288	2933715.662
289	2932674.348
290	2931752.153
291	2930417.759
292	2929351.519
293	2928509.186
294	2927705.936
295	2927024.643
296	2926193.311
297	2925352.539
298	2924471.156
299	2922880.608
300	2922186.71
301	2921278.451
302	2920419.795
303	2919131.378
304	2918153.924
305	2917522.161
306	2917227.862
307	2916156.4
308	2915071.543
309	2914199.651
310	2913361.536
311	2912563.248
312	2912206.633
313	2911778.628
314	2910732.145
315	2909996.426
316	2908632.047
317	2908094.897
318	2907366.58
319	2907056.41
320	2906117.294
321	2905798.026
322	2904835.028
323	2904487.33
324	2903668.984
325	2902041.05
326	2901575.417
327	2900421.062
328	2899225.134
329	2898116.003
330	2897299.695
331	2896815.747
332	2895842.142
333	2894275.573
334	2893424.023
335	2892215.418
336	2891761.897
337	2891215.241
338	2890291.179
339	2888937.598
340	2888563.25
341	2887473.805
342	2887020.918
343	2886070.091
344	2885552.649
345	2884067.099
346	2883368.246
347	2882505.502
348	2881119.817
349	2880180.062
350	2879696.599
351	2879027.262
352	2878111.183
353	2877683.782
354	2876520.016
355	2876419.274
356	2875493.152
357	2874797.967
358	2873911.212
359	2872349.759
360	2871587.604
361	2870894.025
362	2870168.56
363	2869332.708
364	2868250.659
365	2867302.007
366	2866286.523
367	2865534.812
368	2864854.76
369	2864137.905
370	2863185.24
371	2862826.239
372	2862095.159
373	2861020.731
374	2860054.535
375	2859720.573
376	2858833.122
377	2858300.798
378	2857537.512
379	2857344.056
380	2856632.071
381	2854789.068
382	2854412.353
383	2853463.123
384	2852943.178
385	2852826.432
386	2852186.655
387	2851011.705
388	2850083.156
389	2849608.621
390	2848858.242
391	2848283.546
392	2848212.43
393	2847645.406
394	2846699.315
395	2846212.817
396	2845760.089
397	2845125.965
398	2844101.126
399	2843004.706
400	2841938.11
401	2841325.426
402	2840509.541
403	2839541.939
404	2838664.489
405	2837722.68
406	2837190.302
407	2836414.711
408	2835462.932
409	2835004.681
410	2833700.327
411	2832819.887
412	2832628.349
413	2831960.159
414	2831026.984
415	2830353.046
416	2829451.507
417	2829190.402
418	2828385.796
419	2827724.304
420	2826616.608
421	2826138.83
422	2825694.298
423	2824998.611
424	2824879.265
425	2823930.376
426	2822754.985
427	2821951.114
428	2821515.123
429	2820629.31
430	2819752.386
431	2819286.808
432	2819252.4
433	2818672.639
434	2817746.175
435	2816978.454
436	2816311.515
437	2815084.418
438	2814204.924
439	2814063.461
440	2813417.021
441	2812642.988
442	2811678.923
443	2811616.289
444	2810773.506
445	2809542.699
446	2808344.359
447	2807639.063
448	2807096.973
449	2806280.796
450	2805576.612
451	2805467.51
452	2804625.903
453	2804013.146
454	2803337.112
455	2802215.026
456	2800507.613
457	2800346.097
458	2799595.625
459	2797920.61
460	2796990.698
461	2795844.83
462	2794157.688
463	2793901.754
464	2793703.888
465	2792936.393
466	2792130.379
467	2792108.27
468	2791441.782
469	2790847.056
470	2790331.204
471	2789650.435
472	2788976.463
473	2788242.866
474	2787870.308
475	2787128.765
476	2786672.317
477	2786127.972
478	2785842.719
479	2785763.171
480	2785210.136
481	2784973.495
482	2784268.874
483	2783492.948
484	2782613.596
485	2781582.477
486	2780434.216
487	2779761.055
488	2778373.09
489	2778353.909
490	2777955.476
491	2777456.759
492	2777178.166
493	2776632.345
494	2776143.117
495	2775692.767
496	2775168.095
497	2774956.393
498	2774187.296
499	2773148.79
500	2772097.821
501	2771249.865
502	2770432.799
503	2769585.819
504	2768796.345
505	2768054.884
506	2767626.242
507	2767176.766
508	2766293.109
509	2765562.033
510	2764825.422
511	2764427.257
512	2763961.82
513	2763579.016
514	2763336.558
515	2762730.617
516	2762211.629
517	2761882.803
518	2761632.557
519	2761023.842
520	2760326.062
521	2760152.936
