iter	Passed	Remaining
0	50	50765
1	55	27480
2	59	19628
3	63	15732
4	67	13404
5	71	11842
6	75	10711
7	80	10039
8	84	9338
9	88	8795
10	92	8348
11	96	7979
12	100	7656
13	104	7382
14	108	7145
15	112	6939
16	117	6771
17	121	6613
18	125	6491
19	129	6361
20	133	6246
21	137	6128
22	141	6015
23	145	5913
24	149	5841
25	153	5755
26	158	5729
27	163	5668
28	167	5595
29	170	5527
30	174	5459
31	178	5399
32	182	5343
33	186	5292
34	190	5260
35	194	5219
36	198	5172
37	202	5129
38	206	5088
39	210	5047
40	214	5012
41	218	4976
42	222	4945
43	226	4916
44	230	4881
45	233	4848
46	237	4817
47	241	4794
48	245	4763
49	250	4750
50	253	4724
51	257	4694
52	261	4677
53	265	4653
54	269	4627
55	273	4610
56	277	4591
57	281	4567
58	285	4549
59	288	4527
60	293	4517
61	297	4495
62	301	4476
63	305	4470
64	309	4447
65	313	4429
66	317	4415
67	321	4399
68	324	4382
69	328	4364
70	332	4350
71	336	4334
72	339	4317
73	343	4299
74	347	4286
75	351	4271
76	354	4254
77	358	4238
78	362	4223
79	366	4210
80	370	4198
81	374	4187
82	377	4174
83	381	4163
84	385	4153
85	389	4139
86	393	4125
87	396	4113
88	401	4104
89	405	4095
90	409	4086
91	412	4073
92	416	4064
93	420	4053
94	424	4044
95	428	4033
96	431	4020
97	435	4012
98	439	4002
99	443	3993
100	448	3996
101	453	3988
102	457	3982
103	461	3976
104	465	3965
105	469	3956
106	473	3949
107	477	3942
108	481	3933
109	485	3929
110	489	3920
111	493	3910
112	497	3905
113	501	3894
114	504	3885
115	508	3876
116	512	3870
117	516	3861
118	520	3852
119	524	3844
120	528	3837
121	531	3828
122	536	3822
123	540	3815
124	544	3808
125	547	3800
126	551	3792
127	555	3785
128	559	3780
129	564	3778
130	568	3770
131	572	3762
132	576	3755
133	580	3748
134	583	3740
135	587	3733
136	591	3727
137	596	3726
138	600	3721
139	604	3714
140	608	3707
141	612	3700
142	617	3698
143	620	3690
144	624	3682
145	628	3675
146	632	3670
147	636	3662
148	640	3655
149	644	3653
150	648	3645
151	651	3636
152	655	3631
153	659	3624
154	663	3616
155	667	3613
156	672	3610
157	676	3604
158	680	3597
159	684	3591
160	687	3584
161	691	3576
162	694	3568
163	698	3562
164	702	3555
165	706	3550
166	710	3544
167	715	3541
168	718	3533
169	722	3525
170	726	3520
171	730	3514
172	734	3508
173	737	3502
174	741	3496
175	745	3491
176	749	3484
177	753	3478
178	756	3471
179	760	3464
180	764	3459
181	768	3452
182	771	3445
183	775	3439
184	779	3432
185	783	3428
186	787	3422
187	791	3417
188	795	3413
189	799	3406
190	802	3400
191	806	3395
192	810	3389
193	814	3385
194	818	3379
195	822	3374
196	826	3368
197	830	3362
198	834	3357
199	837	3350
200	842	3347
201	845	3340
202	849	3334
203	853	3330
204	864	3351
205	869	3350
206	873	3345
207	876	3339
208	880	3333
209	885	3330
210	889	3326
211	893	3320
212	897	3314
213	901	3310
214	905	3305
215	909	3299
216	913	3297
