iter	RMSE
0	5746430.014
1	5259957.838
2	4874522.76
3	4592162.208
4	4358261.691
5	4179815.41
6	4047690.463
7	3924643.524
8	3822120.111
9	3740878.187
10	3675043.569
11	3632561.696
12	3593759.712
13	3558150.299
14	3529779.557
15	3508701.9
16	3496052.614
17	3476750.964
18	3461180.925
19	3449904.047
20	3436334.874
21	3422710.014
22	3416676.566
23	3408153.797
24	3397452.27
25	3393154.954
26	3387200.931
27	3379552.844
28	3375210.004
29	3371633.111
30	3367149.09
31	3362499.069
32	3358279.302
33	3354584.595
34	3351468.661
35	3344274.129
36	3339783.398
37	3336092.565
38	3332523.209
39	3326409.798
40	3321413.22
41	3319235.945
42	3315991.574
43	3306926.501
44	3302968.931
45	3300862.449
46	3297748.91
47	3291965.062
48	3290848.967
49	3285670.736
50	3279193.252
51	3276078.238
52	3274318.795
53	3270771.323
54	3269212.036
55	3266440.113
56	3262526.764
57	3259505.108
58	3256968.676
59	3253075.152
60	3249090.773
61	3245579.742
62	3243676.828
63	3240552.055
64	3237578.064
65	3236114.128
66	3234295.452
67	3233022.64
68	3229802.206
69	3227969.125
70	3224697.833
71	3222759.26
72	3221319.278
73	3219414.647
74	3217397.225
75	3215872.217
76	3212543.941
77	3209979.18
78	3207974.781
79	3206650.034
80	3203899.395
81	3201272.601
82	3198741.496
83	3196754.692
84	3194452.848
85	3193111.949
86	3190891.096
87	3189413.033
88	3186760.27
89	3185126.594
90	3184291.627
91	3182363.755
92	3180519.425
93	3176607.336
94	3176355.117
95	3173428.931
96	3171159.691
97	3169343.872
98	3166518.535
99	3164409.474
100	3163349.858
101	3161540.066
102	3160327.028
103	3159295.176
104	3157906.575
105	3155088.607
106	3152361.878
107	3150094.31
108	3149034.541
109	3147783.66
110	3146728.918
111	3145327.998
112	3141752.981
113	3140428.161
114	3138632.579
115	3136793.692
116	3136154.842
117	3134457.937
118	3134009.949
119	3132697.767
120	3130697.055
121	3128824.947
122	3126973.585
123	3125825.471
124	3125020.004
125	3124061.618
126	3122417.055
127	3120637.264
128	3118899.842
129	3117785.907
130	3115316.078
131	3114303.287
132	3111533.655
133	3110764.936
134	3110353.053
135	3109486.499
136	3106790.064
137	3105722.836
138	3103849.241
139	3102255.831
140	3100319.304
141	3098536.199
142	3097424.58
143	3095208.675
144	3093477.531
145	3092018.179
146	3090935.655
147	3088791.777
148	3087698.402
149	3086060.56
150	3083692.183
151	3081894.844
152	3080942.077
153	3079735.274
154	3078591.147
155	3077668.096
156	3077517.007
157	3076380.604
158	3075229.627
159	3073964.525
160	3073311.046
161	3071644.62
162	3070902.37
163	3070026.324
164	3068576.358
165	3067540.767
166	3066500.573
167	3065617.793
168	3065453.915
169	3064539.078
170	3063609.526
171	3063231.583
172	3062419.453
173	3061579.245
174	3060845.644
175	3059749.645
176	3058463.615
177	3057077.95
178	3055745.188
179	3054591.299
180	3053114.939
181	3051718.465
182	3049847.597
183	3049014.747
184	3047559.688
185	3045363.562
186	3044940.883
187	3043885.858
188	3043394.559
189	3042518.892
190	3040328.833
191	3039175.636
192	3037602.663
193	3037054.492
194	3035669.321
195	3034803.368
196	3033493.07
197	3032195.153
198	3031315.461
199	3030648.604
200	3029774.046
201	3028882.46
202	3027925.088
203	3026785.466
204	3026394.061
205	3024784.514
206	3023553.967
207	3022567.906
208	3021735.777
209	3020515.352
210	3019544.624
211	3018653.231
212	3018117.622
213	3016217.68
214	3015684.838
215	3014465.34
216	3012495.99
217	3010614.41
218	3009540.861
219	3009169.288
220	3008655.445
221	3007173.934
222	3006991.938
223	3006568.606
224	3005379.046
225	3004385.229
226	3003976.128
227	3003519.936
228	3002171.618
229	3000464.763
230	2999536.456
231	2998885.982
232	2998160.276
233	2996437.324
234	2995393.038
235	2994591.594
236	2993874.957
237	2993821.774
238	2992839.371
239	2992825.257
240	2990591.794
241	2989529.392
242	2988194.681
243	2985255.788
244	2984895.958
245	2984545.277
246	2982849.513
247	2981153.924
248	2979809.167
249	2979178.728
250	2978616.238
251	2978226.019
252	2977702.125
253	2976275.319
254	2975311.197
255	2974697.476
256	2973598.343
257	2972901.142
258	2972500.99
259	2971507.477
260	2970917.404
261	2969429.609
262	2969165.903
263	2968259.774
264	2966869.817
265	2965983.093
266	2964582.855
267	2963777.016
268	2962971.837
269	2962803.201
270	2962410.966
271	2961211.605
272	2960441.522
273	2959721.318
274	2958907.525
275	2958297.479
276	2957814.259
277	2957420.853
278	2956717.438
279	2955594.633
280	2954629.339
281	2954263.06
282	2952421.836
283	2950671.657
284	2949887.427
285	2949202.37
286	2948201.369
287	2946931.955
288	2946684.086
289	2946675.446
290	2946504.935
291	2945779.349
292	2944916.834
293	2943803.805
294	2943275.453
295	2942589.028
296	2942022.143
297	2941573.977
298	2941065.56
299	2940691.663
