iter	Passed	Remaining
0	2	888
1	5	815
2	8	796
3	10	790
4	13	799
5	16	792
6	18	776
7	20	761
8	23	749
9	25	741
10	27	733
11	30	725
12	32	717
13	34	711
14	37	705
15	39	700
16	41	693
17	43	689
18	46	688
19	49	688
20	59	784
21	61	776
22	63	768
23	66	762
24	68	758
25	71	750
26	73	747
27	76	742
28	78	736
29	81	729
30	83	724
31	86	724
32	89	720
33	91	715
34	93	710
35	96	706
36	98	703
37	101	699
38	103	695
39	106	690
40	108	686
41	110	681
42	113	677
43	118	686
44	120	682
45	122	677
46	125	673
47	127	669
48	129	663
49	131	659
50	134	655
51	136	652
52	139	649
53	141	645
54	143	641
55	146	637
56	148	633
57	150	629
58	152	624
59	155	622
60	158	619
61	160	616
62	162	612
63	165	608
64	167	604
65	169	600
66	171	596
67	173	593
68	176	589
69	178	585
70	180	583
71	183	580
72	185	577
73	188	574
74	190	570
75	192	566
76	194	563
77	196	560
78	199	556
79	201	553
80	203	549
81	205	546
82	207	543
83	210	540
84	212	537
85	214	534
86	217	531
87	220	530
88	222	527
89	224	524
90	226	521
91	228	517
92	231	514
93	233	511
94	235	508
95	237	505
96	240	502
97	242	499
98	244	496
99	246	493
100	249	490
101	251	488
102	254	485
103	256	483
104	259	481
105	261	479
106	264	476
107	267	474
108	269	472
109	272	470
110	274	468
111	277	465
112	279	463
113	282	460
114	284	458
115	286	455
116	289	452
117	291	449
118	293	446
119	296	444
120	298	441
121	300	438
122	303	436
123	305	433
124	307	431
125	310	428
126	312	426
127	315	423
128	317	420
129	319	418
130	322	415
131	324	412
132	326	409
133	328	407
134	331	404
135	333	401
136	335	399
137	337	396
138	339	393
139	342	391
140	344	388
141	347	386
142	349	383
143	351	381
144	354	378
145	356	375
146	358	373
147	360	370
148	363	367
149	365	365
150	367	362
151	370	360
152	372	357
153	374	355
154	376	352
155	379	349
156	381	347
157	383	344
158	386	342
159	388	339
160	390	337
161	392	334
162	396	333
163	398	330
164	400	327
165	402	325
166	405	322
167	407	320
168	409	317
169	411	314
170	413	312
171	416	309
172	418	307
173	420	304
174	422	301
175	424	299
176	427	297
177	430	294
178	432	292
179	434	289
180	437	287
181	439	284
182	442	282
183	444	280
184	446	277
185	449	275
186	451	273
187	454	270
188	456	268
189	459	265
190	461	263
191	463	260
192	467	259
193	469	256
194	472	254
195	474	251
196	477	249
197	479	246
198	481	244
199	483	241
200	485	239
201	488	236
202	490	234
203	492	231
204	495	229
205	497	227
206	500	224
207	502	222
208	505	220
209	507	217
210	509	215
211	512	212
212	514	210
213	517	207
214	519	205
215	521	202
216	524	200
217	526	198
218	529	195
219	531	193
220	533	190
221	536	188
222	538	185
223	541	183
224	544	181
225	546	179
226	549	176
227	551	174
228	553	171
229	555	169
230	558	166
231	560	164
232	562	161
233	565	159
234	567	157
235	570	154
236	573	152
237	575	149
238	577	147
239	578	144
240	581	142
241	583	139
242	585	137
243	589	135
244	592	132
245	594	130
246	596	128
247	599	125
248	601	123
249	604	120
250	606	118
251	609	116
252	611	113
253	613	111
254	616	108
255	618	106
256	620	103
257	623	101
258	625	99
259	627	96
260	630	94
261	632	91
262	634	89
263	636	86
264	639	84
265	641	81
266	643	79
267	646	77
268	648	74
269	650	72
270	653	69
271	655	67
272	658	65
273	660	62
274	663	60
275	666	57
276	668	55
277	670	53
278	672	50
279	675	48
280	677	45
281	679	43
282	682	40
283	684	38
284	686	36
285	689	33
286	691	31
287	694	28
288	696	26
289	697	24
290	699	21
291	702	19
292	704	16
293	706	14
294	709	12
295	711	9
296	713	7
297	716	4
298	718	2
299	721	0
